%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1622095923890571862,33,1622095923890490521,foot_imu_link,0.866867661476,0.402847081423,-0.123620666564,-0.266406923532,4.9495793254e-05,0.0,0.0,0.0,3.61796545834e-05,0.0,0.0,0.0,4.21409319739e-05,-2.32244324684,3.96883058548,-4.17703771591,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-5.65365409851,6.91558504105,4.69963359833,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923897650483,34,1622095923897487322,foot_imu_link,0.865446388721,0.409917026758,-0.109845198691,-0.266279280186,4.95290177491e-05,0.0,0.0,0.0,3.62118916087e-05,0.0,0.0,0.0,4.21792319819e-05,-2.46095204353,3.93055820465,-4.14119052887,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-6.42553138733,7.26506710052,6.0611243248,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923897837821,35,1622095923897745342,foot_imu_link,0.863988995552,0.416849911213,-0.0959791243076,-0.265607178211,4.95622544351e-05,0.0,0.0,0.0,3.62441408251e-05,0.0,0.0,0.0,4.22176620271e-05,-2.65715718269,3.88909649849,-4.08798074722,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-6.87694454193,8.06805992126,6.14068937302,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923906441393,36,1622095923906327491,foot_imu_link,0.862506210804,0.423461288214,-0.0819946303964,-0.264651805162,4.95953814023e-05,0.0,0.0,0.0,3.62763047045e-05,0.0,0.0,0.0,4.22561245816e-05,-2.75662565231,3.91239356995,-3.97875022888,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-7.40261745453,8.12803554535,6.34132003784,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923915295515,37,1622095923915103854,foot_imu_link,0.860929191113,0.429898738861,-0.067717500031,-0.263443350792,4.96285083694e-05,0.0,0.0,0.0,3.63085051569e-05,0.0,0.0,0.0,4.22947049823e-05,-2.88136720657,3.99011993408,-3.96238493919,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-8.1462430954,7.88734054565,6.75110960007,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923915389385,38,1622095923915299785,foot_imu_link,0.859251976013,0.436077415943,-0.0529772266746,-0.262137264013,4.96615134268e-05,0.0,0.0,0.0,3.63406324634e-05,0.0,0.0,0.0,4.23332894467e-05,-2.97540974617,4.15522098541,-3.93409204483,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-9.07370376587,8.64428424835,7.43359565735,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923922364871,39,1622095923922202071,foot_imu_link,0.857631266117,0.441768974066,-0.0379026904702,-0.260523051023,4.96944900385e-05,0.0,0.0,0.0,3.63727760245e-05,0.0,0.0,0.0,4.23719714389e-05,-3.13584470749,4.26912498474,-3.78648853302,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-9.55028152466,9.25791168213,8.70882320404,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923922472374,40,1622095923922387781,foot_imu_link,0.856139719486,0.446836799383,-0.0225270967931,-0.258561819792,4.9727360995e-05,0.0,0.0,0.0,3.64048830127e-05,0.0,0.0,0.0,4.2410702195e-05,-3.31152510643,4.37741613388,-3.57477855682,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-9.88167095184,9.60055732727,9.70502567291,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923931345584,41,1622095923931186284,foot_imu_link,0.854874968529,0.451172918081,-0.00691907480359,-0.256093472242,4.97602278878e-05,0.0,0.0,0.0,3.64370062555e-05,0.0,0.0,0.0,4.24495020334e-05,-3.54338955879,4.44413328171,-3.3032336235,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-9.83443164825,9.45230674744,10.9844102859,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923940089988,42,1622095923939915352,foot_imu_link,0.853778004646,0.454809993505,0.00882039312273,-0.253245174885,4.97929972528e-05,0.0,0.0,0.0,3.6469121371e-05,0.0,0.0,0.0,4.24883425084e-05,-3.7116727829,4.49176597595,-3.04552125931,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-9.4672794342,9.04325008392,11.5475902557,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
